Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7
2016-07-14,658.8316125,15759487.5,34318017.3138,0.79985628169,9.23333333333,1506352.7726,58.38309851,5.49537172293,367953.0,220655.0,2136183.92949,248982.076123,664.882075
2016-07-15,664.57145,15761175.0,26928546.8393,0.790217274074,8.98333333333,1432095.94578,55.22548963,5.38034163757,367739.0,216081.0,3349411.14443,281068.302532,651.5813625
2016-07-16,662.15335,15763137.5,13030366.5582,0.688478471338,7.76666666667,1665474.54435,50.67563958,7.32764021136,356533.0,182192.0,1965918.49665,195758.011163,655.8469125
2016-07-17,675.45905,15765000.0,26346610.596,0.709356214765,7.26666666667,1580609.59941,47.87291321,7.59712074998,330330.0,171013.0,2055306.59992,237589.958518,661.4130125
2016-07-18,673.2056375,15766850.0,30616321.5858,0.820297751678,7.95,1581302.6993,59.6941179,5.75516803074,384160.0,225827.0,2274871.73534,290402.484259,654.69545
2016-07-19,672.8432,15768450.0,18855335.6425,0.860789296875,9.8,1358434.53362,61.86165427,5.05779102858,373620.0,222146.0,2539145.56393,351789.341456,655.0654625
2016-07-20,665.643125,15770325.0,21835386.1701,0.798784266667,8.71666666667,1591915.46909,64.19434833,5.68902761367,378815.0,227429.0,2456917.48286,251060.141179,654.9810375
2016-07-21,664.882075,15771987.5,19396531.8726,0.809272631579,9.78333333333,1411498.38259,60.4162541,5.26528008483,364285.0,217606.0,2207379.88049,209345.481187,655.32875
2016-07-22,651.5813625,15773600.0,36015630.8104,0.863989124031,10.5166666667,1369047.30342,65.19185579,4.91454809719,368179.0,221404.0,2421306.20175,250316.545204,656.8876125
2016-07-23,655.8469125,15775237.5,22033362.3228,0.826302038168,9.8,1390272.84301,60.03161359,5.6718481563,332946.0,195796.0,1834612.75601,175261.834359,654.7369625
